Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
11/17/2000,31,34,28,0,0.1,
11/18/2000,29,35,23,0,,
11/19/2000,33,43,23,0.02,,
11/20/2000,25,29,20,0,0.3,0
11/21/2000,21,25,16,0,,
11/22/2000,24,32,16,0,,
11/23/2000,30,38,22,0,,
11/24/2000,35,46,24,0,,
11/25/2000,40,46,34,0.21,,
11/26/2000,41,43,38,0.09,,
11/27/2000,35,39,31,0,,
11/28/2000,37,42,31,0,,
11/29/2000,36,38,33,0.09,,
11/30/2000,38,39,36,0,,
12/1/2000,36,37,34,0.01,,
12/2/2000,33,36,29,0,,
12/3/2000,30,35,24,0,,
12/4/2000,32,38,26,0,,
12/5/2000,24,34,13,0,,
12/6/2000,18,22,13,0,0.2,0
12/7/2000,27,33,21,0,1.9,0
12/8/2000,21,30,12,0,0,2
12/9/2000,21,31,11,0,0,2
12/10/2000,33,36,29,0.06,,1
12/11/2000,25,32,17,1,14.3,2
12/12/2000,8,17,-1,0,0,14
12/13/2000,11,25,-3,0.35,4.1,12
12/14/2000,23,31,14,0.06,,16
12/15/2000,21,32,10,0,0,14
12/16/2000,27,35,18,0.42,,11
12/17/2000,10,18,2,0,0,10
12/18/2000,10,18,1,,,
12/19/2000,16,22,9,,0.6,
12/20/2000,9,19,-1,0,1.6,12
12/21/2000,8,20,-4,0,1.7,13
12/22/2000,0,7,-7,0,,13
12/23/2000,10,21,-2,0,,13
12/24/2000,6,12,-1,0,,13
12/25/2000,10,19,0,0,,12
12/26/2000,15,20,9,0,,12
12/27/2000,14,19,9,0,,13
12/28/2000,16,21,11,0,,13
12/29/2000,21,26,15,0,,
12/30/2000,29,32,25,,,
12/31/2000,23,29,16,0,,19
1/1/2001,20,26,13,0,,17
1/2/2001,14,20,7,0,,16
1/3/2001,18,28,7,0,,15
1/4/2001,28,32,23,0,,14
1/5/2001,30,37,22,0,0,13
1/6/2001,28,35,20,0,0,13
1/7/2001,29,35,23,0,,12
1/8/2001,23,29,17,0,,12
1/9/2001,19,25,12,0,,11
1/10/2001,28,35,20,0,,11
1/11/2001,32,40,24,0,,11
1/12/2001,33,37,28,0,,10
1/13/2001,36,38,34,0,,9
1/14/2001,36,38,33,0.23,,8
1/15/2001,34,36,32,0.01,,5
1/16/2001,30,32,27,0,,4
1/17/2001,24,27,20,0,,4
1/18/2001,26,32,19,0,,4
1/19/2001,24,29,19,0,,3
1/20/2001,20,26,14,0,,3
1/21/2001,20,28,12,0,,3
1/22/2001,22,30,13,0,0,3
1/23/2001,30,36,23,0,,3
1/24/2001,24,29,19,0,0.1,3
1/25/2001,21,26,15,0,,3
1/26/2001,28,32,23,0,,3
1/27/2001,22,27,17,0,,4
1/28/2001,23,30,15,0,0.4,4
1/29/2001,37,43,30,0.67,,4
1/30/2001,37,40,33,0.16,,1
1/31/2001,33,36,29,0,,1
2/1/2001,20,34,6,0,,
2/2/2001,7,14,0,0,,
2/3/2001,22,32,12,0,,
2/4/2001,34,36,32,0.02,,
2/5/2001,30,32,28,0,,
2/6/2001,32,39,25,0.12,,
2/7/2001,29,37,21,0.01,,
2/8/2001,44,53,35,0.67,,
2/9/2001,38,54,21,0.5,1.2,0
2/10/2001,18,22,14,0,,1
2/11/2001,21,28,13,0,,1
2/12/2001,32,39,25,0,,
2/13/2001,37,40,33,0.05,,
2/14/2001,35,38,31,0.15,,
2/15/2001,32,34,30,0,,
2/16/2001,24,32,16,0,,
2/17/2001,15,22,8,0,,
2/18/2001,21,33,9,0,,
2/19/2001,37,45,28,0,,
2/20/2001,30,40,19,0,,
2/21/2001,18,24,11,0,,
2/22/2001,25,29,21,0,,
2/23/2001,24,30,18,0.01,,
2/24/2001,41,57,24,1.27,,
2/25/2001,43,57,29,0,,
2/26/2001,32,41,23,0,,
2/27/2001,26,32,19,0,,
2/28/2001,21,29,13,0,,
3/1/2001,32,42,21,0,,
3/2/2001,37,42,31,0,,
